SEXO,IDADE,FX_ID,RACA,ESCOLARI,P1,P2,P3,P4,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_12,P8_13,P9_1,P9_2,P9_3,P10,P11,P12,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P15A,P15B,P15C,P15D,P15E,P15F,P15G,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P17_1,P17_2,P17_3,P17_4,P17_5,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P19A,P19B,P19C,P19D,P19E,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P21A,P21B,P21C,P21D,P21E,P21F,P22_1,P22_2,P22_3,P23,P24A,P24B,P24C,P24D,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P_PCD_1,P_PCD_2,P_PCD_3,P_ORIENT,P_POLITI,RELIGIAO,REND1,REND2,UF,MUNI,REGIAO,COND,PORTE,ID_IPEC,DATA_ENT
2,43,3,3,14,7,2,2,1,2,5,5,2,5,5,2,2,4,,,,,,,,,,,6,,,,,,1,4,,,,,,,,,,,,1,8,97,2,4,1,2,3,7,,,,,,3,4,,,,,,,,2,2,,,,2,4,,,,,,2,3,,,,2,10,,,,,2,2,1,4,5,9,,,,,,,,,1,2,1,1,1,2,97,,,1,2,2,2,2,2,1,3,,,,,,4,,,1,3,2,6,6,26,2600401,2,3,4,182943340,13900809600
2,51,4,3,14,1,2,2,1,2,5,5,5,5,5,5,5,5,,,,,,,,,,,1,3,4,,,,1,2,3,,,,,,,,,,,1,97,,5,4,1,1,3,,,,,,,4,5,,,,,,,,,2,2,,,6,7,,,,,,2,,,,,9,,,,,,2,2,2,4,2,2,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,1,2,,,,,,4,,,1,2,1,6,6,26,2600401,2,3,4,182944002,13900809600
2,21,1,1,15,5,2,2,1,2,5,2,1,4,5,1,2,5,,,,,,,,,,,1,3,5,,,,1,3,4,5,11,13,,,,,,,,1,4,3,1,2,2,1,2,5,7,8,,,,2,4,7,,,,,,2,,3,,,2,1,2,3,4,5,6,7,2,3,,,,3,8,9,,,,1,2,2,5,1,1,6,7,,,,,,,1,1,1,1,2,2,97,,,1,2,2,1,2,1,1,2,4,5,7,,,4,,,1,3,10,6,5,26,2600401,2,3,4,182944853,13900809600
1,63,5,3,7,4,3,2,3,5,5,5,5,5,5,5,5,5,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,1,97,,5,2,2,3,,,,,,,,3,,,,,,,,,1,,,,,1,,,,,,,97,,,,,,,,,,,1,1,1,1,1,4,,,,,,,,,1,1,1,1,1,2,97,,,1,2,2,2,2,2,4,,,,,,,4,,,1,2,2,6,5,26,2600401,2,3,4,182945614,13900809600
2,39,3,1,15,1,99,4,3,1,1,1,1,5,99,1,1,1,2,3,,,,,,,,,4,5,,,,,1,5,12,,,,,,,,,,,1,3,4,1,3,2,3,4,7,,,,,,3,,,,,,,,,2,,,,,1,5,6,,,,,2,,,,,8,,,,,,1,1,1,3,2,2,3,6,,,,,,,2,2,2,1,2,2,97,,,1,2,1,1,2,1,3,4,7,,,,,3,,,1,2,10,5,4,43,4318903,4,3,4,182946145,13900809600
1,21,1,3,15,2,1,2,1,1,5,5,5,5,5,5,5,5,,,,,,,,,,,1,5,6,,,,1,2,3,,,,,,,,,,,1,3,8,1,4,2,1,4,5,7,,,,,1,2,3,4,5,6,7,1,2,2,1,1,1,2,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,5,5,1,1,6,7,,,,,,,1,1,1,1,1,1,1,,,1,2,2,1,1,1,1,3,5,,,,,4,,,1,1,2,6,4,26,2600401,2,3,4,182946235,13900809600
2,34,2,1,14,1,3,2,2,1,5,5,1,4,5,1,4,5,,,,,,,,,,,1,2,,,,,1,2,3,4,5,6,,,,,,,,1,4,8,1,4,2,1,4,5,7,,,,,2,3,,,,,,,2,2,,,,,1,2,,,,,,2,,,,,99,,,,,,1,1,1,5,1,3,4,7,,,,,,,2,2,2,2,2,2,97,,,1,2,2,2,2,1,1,3,6,7,,,,4,,,1,1,2,4,4,26,2600401,2,3,4,182947153,13900809600
2,48,4,1,14,6,2,2,1,2,5,2,1,5,99,2,1,4,,,,,,,,,,,1,,,,,,1,2,6,,,,,,,,,,,1,2,4,2,3,2,2,4,8,,,,,,2,3,,,,,,,2,1,,,,,1,5,,,,,,4,5,,,,99,,,,,,2,2,2,2,2,6,,,,,,,,,2,1,1,1,2,2,97,,,1,1,1,1,1,2,7,,,,,,,4,,,1,3,1,98,99,43,4318903,4,3,4,182947597,13900809600
1,25,2,3,12,1,2,2,1,2,1,5,1,99,5,5,2,5,3,,,,,,,,,,1,4,,,,,12,13,,,,,,,,,,,,1,3,4,1,3,2,4,7,,,,,,,1,3,6,7,,,,2,,2,,,1,2,1,6,,,,,,97,,,,,,,,,,,1,1,1,2,1,8,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,6,7,,,,,4,,,1,4,11,98,5,29,2933307,2,3,6,182947704,13900809600
2,75,5,1,6,99,2,2,2,2,5,5,5,5,4,4,5,4,,,,,,,,,,,99,,,,,,99,,,,,,,,,,,,,8,3,97,5,99,2,8,,,,,,,,99,,,,,,,,,,,,,,99,,,,,,,97,,,,,,,,,,,4,4,98,98,98,99,,,,,,,,,2,2,1,1,1,98,97,,,99,2,2,98,98,2,99,,,,,,,4,,,1,4,1,6,6,23,2304707,2,3,5,182947864,13900809600
1,20,1,3,14,1,1,2,2,1,5,5,2,5,4,5,4,5,,,,,,,,,,,1,5,6,,,,1,3,4,5,,,,,,,,,,1,3,7,1,4,2,4,5,7,,,,,,2,3,4,,,,,,2,2,2,,,,1,3,,,,,,4,,,,,10,,,,,,2,2,2,5,2,6,8,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,2,2,2,1,4,5,,,,,4,,,1,2,1,98,6,26,2600401,2,3,4,182948000,13900809600
2,44,3,4,11,6,2,2,3,1,4,5,1,4,2,1,2,5,,,,,,,,,,,2,4,,,,,1,4,6,,,,,,,,,,,1,2,3,1,4,2,2,4,7,,,,,,1,2,5,,,,,2,2,,,2,,,1,6,7,,,,,97,,,,,,,,,,,1,1,1,1,1,1,3,9,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,1,2,3,5,6,,,,,4,,,1,1,19,4,4,32,3205002,3,3,6,182948031,13900809600
2,62,5,2,14,5,1,1,2,5,5,5,5,5,99,1,1,5,,,,,,,,,,,1,3,5,,,,1,12,13,,,,,,,,,,,3,7,99,2,1,2,1,4,8,,,,,,2,3,4,,,,,,2,1,2,,,,6,,,,,,,97,,,,,,,,,,,2,5,2,1,4,4,8,9,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,98,2,2,5,7,,,,,4,,,1,4,1,4,99,43,4318903,4,3,4,182948309,13900809600
2,67,5,2,16,1,2,2,3,1,2,5,1,2,2,1,5,5,3,,,,,,,,,,1,5,,,,,8,9,13,,,,,,,,,,,1,2,3,5,4,2,1,4,,,,,,,8,,,,,,,,,,,,,,1,2,3,4,5,6,7,99,,,,,,,,,,,2,2,2,4,4,6,8,,,,,,,,2,2,98,1,2,2,97,,,1,2,1,1,2,2,1,,,,,,,4,,,1,4,1,5,5,29,2927408,2,1,7,182948338,13900809600
2,37,3,1,16,2,2,2,3,1,4,4,1,4,4,1,4,4,,,,,,,,,,,1,5,,,,,1,2,4,,,,,,,,,,,1,8,7,5,4,2,1,4,,,,,,,1,2,3,4,5,6,,3,1,1,1,1,1,,1,6,,,,,,97,,,,,,,,,,,4,1,1,4,1,97,,,,,,,,,1,1,1,1,2,2,97,,,1,1,1,98,98,2,1,4,,,,,,4,,,1,3,1,3,3,52,5208707,5,1,7,182948439,13900809600
2,83,5,1,7,1,2,4,3,2,5,5,1,99,99,1,5,5,,,,,,,,,,,1,4,6,,,,1,2,3,4,,,,,,,,,,1,3,99,4,3,1,1,4,,,,,,,1,,,,,,,1,,,,,,,1,2,3,5,,,,97,,,,,,,,,,,1,1,4,2,2,99,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,2,3,4,5,,,4,,,99,4,11,6,6,29,2933307,2,3,6,182948524,13900809600
1,32,2,2,8,3,2,2,1,4,4,4,1,5,4,2,5,5,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,1,2,3,4,2,2,6,,,,,,,,2,,,,,,,,1,,,,,,2,,,,,,,97,,,,,,,,,,,1,1,1,2,1,1,7,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,2,2,6,,,,,,,3,,,1,2,10,6,6,33,3303401,3,3,6,182948579,13900809600
1,44,3,1,8,1,2,2,1,1,1,5,1,5,5,1,5,5,2,,,,,,,,,,99,,,,,,4,,,,,,,,,,,,,1,2,4,1,4,2,1,,,,,,,,99,,,,,,,,,,,,,,1,,,,,,,97,,,,,,,,,,,1,5,1,1,1,2,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,3,,,,,,,4,,,1,3,1,98,6,26,2600401,2,3,4,182948784,13900809600
1,64,5,3,10,1,1,2,1,5,1,5,1,5,5,4,2,5,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,2,7,1,1,2,1,,,,,,,,1,2,,,,,,1,1,,,,,,1,2,,,,,,99,,,,,,,,,,,1,1,1,1,1,2,,,,,,,,,2,2,1,1,1,98,97,,,1,2,1,1,2,2,1,3,,,,,,4,,,1,3,1,6,6,29,2913606,2,3,6,182948939,13900809600
2,26,2,3,14,2,2,2,2,1,5,5,1,5,5,1,5,4,,,,,,,,,,,1,6,,,,,2,4,,,,,,,,,,,,1,3,4,1,4,2,1,3,6,,,,,,2,3,,,,,,,2,2,,,,,1,7,,,,,,97,,,,,,,,,,,1,1,1,5,3,1,2,6,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,2,3,7,,,,,4,,,1,1,1,6,99,23,2304707,2,3,5,182948941,13900809600
2,19,1,2,15,1,2,2,2,1,4,99,1,5,2,2,99,5,,,,,,,,,,,1,4,5,,,,1,2,3,4,,,,,,,,,,1,2,3,5,4,2,1,2,4,6,,,,,1,2,7,,,,,1,1,,,,,2,1,2,7,,,,,99,,,,,,,,,,,1,1,2,4,1,99,,,,,,,,,1,1,1,1,1,1,99,,,1,1,1,1,2,1,1,2,3,,,,,4,,,1,2,1,6,6,17,1720903,1,3,3,182949313,13900809600
2,45,4,3,11,1,2,2,1,1,2,5,1,1,99,1,1,2,1,2,3,,,,,,,,1,2,3,4,5,6,1,2,4,6,,,,,,,,,,1,3,9,2,4,2,1,3,6,,,,,,1,3,4,6,,,,3,,3,3,,3,,1,2,3,6,,,,97,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,2,4,5,,,,4,,,1,2,1,4,3,35,3543402,3,3,7,182949423,13900809600
1,59,4,1,14,6,1,1,3,1,4,5,5,5,99,2,4,5,,,,,,,,,,,1,,,,,,1,4,10,,,,,,,,,,,1,8,3,5,4,1,1,4,7,,,,,,2,3,,,,,,,2,2,,,,,3,5,7,,,,,97,,,,,,,,,,,1,1,1,2,1,4,7,8,9,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,1,3,4,,,,,,4,,,1,3,1,3,3,43,4318903,4,3,4,182949492,13900809600
2,56,4,2,13,1,2,2,3,1,1,5,1,5,5,1,1,5,2,3,,,,,,,,,1,,,,,,1,2,3,4,5,,,,,,,,,1,4,8,1,4,2,1,2,,,,,,,1,2,3,,,,,1,1,1,,,,,1,2,3,,,,,1,2,,,,1,,,,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,1,2,1,3,4,,,,,4,,,1,4,2,6,6,52,5208707,5,1,7,182949685,13900809600
1,73,5,3,6,99,2,2,1,5,5,5,5,99,99,5,5,5,,,,,,,,,,,99,,,,,,1,2,4,,,,,,,,,,,1,99,,99,4,2,1,,,,,,,,1,6,,,,,,99,,,,,99,,99,,,,,,,97,,,,,,,,,,,98,98,98,98,98,99,,,,,,,,,1,1,1,1,1,98,97,,,1,1,1,98,98,2,1,4,6,,,,,1,,,99,1,1,6,5,29,2933307,2,3,6,182949819,13900809600
2,33,2,2,15,1,2,2,1,1,3,4,4,4,5,3,4,5,,,,,,,,,,,1,3,4,,,,1,2,5,6,,,,,,,,,,1,3,8,2,3,2,1,4,,,,,,,2,3,4,,,,,,1,1,1,,,,1,2,,,,,,97,,,,,,,,,,,1,1,1,2,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,2,2,2,1,2,3,4,,,,2,,,1,3,1,4,4,29,2913606,2,3,6,182950011,13900809600
2,53,4,2,14,1,2,2,3,1,1,1,1,1,1,1,1,1,6,,,,,,,,,,4,,,,,,12,,,,,,,,,,,,,1,99,,5,4,2,99,,,,,,,,1,2,,,,,,2,2,,,,,,6,,,,,,,97,,,,,,,,,,,1,1,1,1,4,99,,,,,,,,,2,2,1,2,2,2,99,,,1,2,2,2,2,2,7,,,,,,,1,,,99,99,99,6,6,29,2927408,2,1,7,182950373,13900809600
2,25,2,3,14,4,1,1,1,4,1,4,1,5,99,4,5,5,5,6,,,,,,,,,1,6,,,,,1,2,6,7,,,,,,,,,,1,2,3,5,4,2,1,2,3,4,5,6,7,8,3,,,,,,,,,2,,,,,1,2,3,4,5,,,4,,,,,4,,,,,,1,1,1,4,1,97,,,,,,,,,1,1,1,1,1,98,1,,,1,1,1,98,1,1,1,2,5,6,,,,3,,,1,4,5,6,5,33,3304904,3,2,7,182950662,13900809600
1,44,3,1,15,1,2,2,3,1,5,5,5,99,99,5,5,5,,,,,,,,,,,1,5,,,,,3,5,,,,,,,,,,,,1,3,8,1,4,2,1,,,,,,,,3,,,,,,,,,1,,,,,3,,,,,,,97,,,,,,,,,,,1,1,1,1,1,1,5,7,,,,,,,1,1,1,1,1,1,97,,,1,2,2,1,1,2,1,3,4,,,,,4,,,1,2,1,98,5,43,4318903,4,3,4,182950726,13900809600
1,77,5,1,4,1,2,2,1,5,5,5,1,5,5,5,5,5,,,,,,,,,,,99,,,,,,97,,,,,,,,,,,,,1,97,,5,4,2,1,,,,,,,,8,,,,,,,,,,,,,,1,3,4,,,,,97,,,,,,,,,,,5,1,5,5,5,97,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,2,2,2,1,2,3,7,,,,4,,,1,3,1,98,6,26,2603454,2,2,6,182951055,13900809600
1,26,2,3,15,1,1,1,1,2,5,2,1,5,1,1,5,5,,,,,,,,,,,1,4,6,,,,2,12,,,,,,,,,,,,1,2,3,1,4,2,1,4,7,,,,,,99,,,,,,,,,,,,,,1,2,3,,,,,97,,,,,,,,,,,2,2,3,5,1,6,,,,,,,,,1,1,1,1,1,2,4,,,1,2,2,98,1,2,2,4,,,,,,4,,,1,4,11,5,4,33,3303401,3,3,6,182951068,13900809600
1,26,2,1,16,1,4,3,1,3,3,3,1,3,3,3,5,5,,,,,,,,,,,1,2,5,,,,1,2,5,,,,,,,,,,,1,6,8,1,4,2,2,4,8,,,,,,1,2,3,4,5,6,,99,99,1,2,2,1,,1,2,3,4,5,6,7,4,,,,,97,,,,,,2,1,2,3,3,1,2,3,4,5,6,7,8,9,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,4,7,,,,,1,,,1,2,1,3,2,35,3543402,3,3,7,182951144,13900809600
2,37,3,3,8,5,2,2,1,1,2,5,1,4,4,1,2,2,2,3,,,,,,,,,1,,,,,,1,2,,,,,,,,,,,,1,2,3,5,4,1,1,3,6,,,,,,1,3,,,,,,3,,3,,,,,1,3,,,,,,1,2,3,,,1,3,,,,,1,4,1,5,2,99,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,1,2,1,3,,,,,,4,,,2,2,1,98,6,17,1720903,1,3,3,182951224,13900809600
2,53,4,1,13,2,2,2,3,1,4,4,1,4,5,5,4,5,,,,,,,,,,,1,,,,,,1,2,3,4,,,,,,,,,,1,8,4,3,4,2,1,2,4,,,,,,2,6,,,,,,,3,,,,1,,1,2,6,,,,,97,,,,,,,,,,,1,1,1,1,1,1,7,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,1,2,7,,,,,,,4,,,1,3,2,6,6,52,5208707,5,1,7,182951457,13900809600
2,21,1,1,13,6,2,2,2,4,5,4,2,99,5,4,5,5,,,,,,,,,,,1,4,6,,,,4,5,13,,,,,,,,,,,1,8,3,5,4,1,1,2,8,,,,,,1,3,4,,,,,2,,1,2,,,,3,5,6,,,,,97,,,,,,,,,,,1,1,2,4,2,1,6,8,,,,,,,2,2,1,1,2,2,97,,,1,1,1,1,1,2,1,2,7,,,,,4,,,1,2,99,98,99,43,4318903,4,3,4,182951798,13900809600
1,49,4,3,14,2,1,1,2,2,2,5,5,5,4,1,4,5,99,,,,,,,,,,5,6,,,,,4,5,6,,,,,,,,,,,1,99,,2,1,2,1,5,7,,,,,,2,,,,,,,,2,,,,,,1,2,,,,,,97,,,,,,,,,,,5,4,5,4,4,2,9,,,,,,,,2,2,1,1,1,2,97,,,1,2,1,1,2,2,6,7,,,,,,3,,,1,2,1,4,4,29,2913606,2,3,6,182951839,13900809600
1,54,4,3,14,3,1,3,3,1,1,5,1,5,99,1,5,5,2,6,7,,,,,,,,3,5,,,,,1,5,6,,,,,,,,,,,1,2,8,1,4,2,1,4,,,,,,,3,,,,,,,,,2,,,,,2,3,7,,,,,5,,,,,10,,,,,,1,1,1,5,1,8,9,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,2,2,2,2,4,6,,,,,2,,,99,1,1,6,6,29,2927408,2,1,7,182951996,13900809600
1,58,4,3,7,1,1,2,1,1,5,5,5,5,1,5,5,5,,,,,,,,,,,1,2,,,,,1,2,4,5,7,,,,,,,,,1,8,3,1,4,1,4,7,,,,,,,1,3,5,,,,,2,,2,,2,,,1,6,,,,,,1,2,,,,2,,,,,,1,1,1,1,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,98,2,4,,,,,,,4,,,1,3,2,6,6,52,5208707,5,1,7,182953179,13900809600
2,31,2,1,16,2,1,1,1,2,5,5,1,99,99,5,5,5,,,,,,,,,,,1,2,5,,,,1,4,12,,,,,,,,,,,1,8,3,5,4,2,1,2,7,,,,,,1,6,,,,,,2,,,,,2,,1,6,7,,,,,97,,,,,,,,,,,1,1,1,5,5,4,7,,,,,,,,1,2,1,1,1,1,97,,,1,2,1,2,2,2,1,2,3,,,,,4,,,1,2,1,98,99,43,4318903,4,3,4,182953445,13900809600
2,64,5,3,1,1,1,2,1,1,5,5,5,5,5,1,1,5,,,,,,,,,,,99,,,,,,3,5,6,,,,,,,,,,,1,8,3,1,2,2,1,4,,,,,,,99,,,,,,,,,,,,,,1,2,3,,,,,97,,,,,,,,,,,1,1,1,1,1,1,2,,,,,,,,1,1,1,1,1,2,97,,,1,1,1,1,1,2,1,,,,,,,2,,,1,3,4,6,6,29,2913606,2,3,6,182953712,13900809600
1,54,4,3,7,6,3,4,3,5,5,5,1,99,99,5,5,5,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,1,8,99,1,3,2,4,,,,,,,,8,,,,,,,,,,,,,,97,,,,,,,97,,,,,,,,,,,1,1,3,1,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,7,,,,,,,4,,,1,99,4,6,5,29,2927408,2,1,7,182953752,13900809600
1,46,4,3,14,1,2,2,2,1,2,2,1,4,5,2,2,5,3,5,,,,,,,,,1,6,,,,,1,2,,,,,,,,,,,,1,8,4,1,1,2,1,3,7,,,,,,1,2,3,,,,,1,1,1,,,,,1,2,4,,,,,1,2,,,,1,9,,,,,1,1,1,5,4,6,8,9,,,,,,,2,2,1,1,2,1,97,,,1,2,2,2,2,2,1,7,,,,,,4,,,1,3,1,6,6,26,2603454,2,2,6,182953754,13900809600
2,24,1,3,11,2,2,2,1,1,5,1,1,5,5,5,1,5,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,1,97,,1,1,2,1,6,,,,,,,4,,,,,,,,,,3,,,,6,,,,,,,97,,,,,,,,,,,1,1,1,1,1,2,,,,,,,,,1,2,2,1,2,2,97,,,1,1,2,1,2,2,2,3,,,,,,4,,,5,3,3,6,6,23,2301901,2,3,5,182953823,13900809600
2,44,3,3,12,3,1,4,1,1,5,5,1,5,5,1,1,5,,,,,,,,,,,4,5,,,,,1,3,4,,,,,,,,,,,1,3,8,5,4,1,1,4,5,,,,,,2,,,,,,,,2,,,,,,1,6,,,,,,97,,,,,,,,,,,5,5,5,1,1,6,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,1,2,3,,,,,4,,,99,1,1,6,6,23,2301901,2,3,5,182953824,13900809600
1,39,3,3,8,4,2,2,3,5,5,5,5,1,5,5,5,5,,,,,,,,,,,99,,,,,,3,,,,,,,,,,,,,1,7,99,5,4,1,2,3,,,,,,,2,,,,,,,,3,,,,,,6,,,,,,,4,,,,,2,,,,,,1,5,1,5,5,5,,,,,,,,,2,2,2,1,2,2,97,,,1,1,2,2,2,2,1,4,6,,,,,2,,,1,1,1,5,5,23,2301901,2,3,5,182953825,13900809600
2,17,1,4,14,6,2,2,1,1,5,5,5,5,5,1,5,5,,,,,,,,,,,3,,,,,,1,5,,,,,,,,,,,,1,8,3,1,4,2,1,,,,,,,,6,,,,,,,,,,,,1,,7,,,,,,,97,,,,,,,,,,,1,1,1,4,1,6,,,,,,,,,1,2,2,1,2,1,97,,,1,1,1,1,1,2,1,,,,,,,3,,,3,2,1,98,6,23,2301901,2,3,5,182953826,13900809600
2,33,2,3,14,1,2,2,2,1,5,5,1,5,99,1,1,5,,,,,,,,,,,1,4,,,,,1,5,11,,,,,,,,,,,1,3,8,1,2,2,1,3,,,,,,,1,2,3,4,,,,2,2,2,2,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,1,4,2,3,4,7,,,,,,,1,98,1,1,1,2,97,,,1,1,1,1,1,2,1,3,4,,,,,4,,,1,3,11,5,3,29,2933307,2,3,6,182954035,13900809600
2,39,3,3,13,1,3,2,3,1,4,5,5,99,99,99,5,5,,,,,,,,,,,1,5,,,,,1,2,4,,,,,,,,,,,1,3,6,5,4,2,1,7,,,,,,,2,,,,,,,,2,,,,,,1,,,,,,,97,,,,,,,,,,,1,2,1,5,2,1,,,,,,,,,2,2,2,2,2,2,97,,,1,2,1,1,2,2,1,3,,,,,,3,,,1,3,2,98,5,33,3304904,3,2,7,182954082,13900809600
1,56,4,1,4,1,2,2,1,1,1,5,1,5,4,1,1,1,6,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,1,8,3,1,4,2,1,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,1,2,,,,5,,,,,,1,1,1,5,1,4,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,3,4,,,,,,4,,,99,1,19,6,6,33,3303401,3,3,6,182954344,13900809600
1,44,3,3,16,2,2,1,1,1,5,5,5,5,5,2,4,5,,,,,,,,,,,1,5,,,,,1,3,4,,,,,,,,,,,1,4,8,5,4,2,1,7,,,,,,,2,3,,,,,,,2,2,,,,,1,5,,,,,,97,,,,,,,,,,,1,1,1,2,1,1,6,,,,,,,,1,1,1,1,1,2,97,,,1,2,2,2,2,1,1,3,7,,,,,4,,,1,2,2,4,3,26,2600401,2,3,4,182954352,13900809600
2,42,3,1,13,97,2,2,1,5,5,5,4,5,5,5,5,5,,,,,,,,,,,5,,,,,,97,,,,,,,,,,,,,97,,,4,99,2,4,7,,,,,,,2,,,,,,,,1,,,,,,1,2,3,4,,,,97,,,,,,,,,,,4,4,98,98,98,99,,,,,,,,,1,98,1,1,2,2,99,,,1,2,2,98,98,2,7,,,,,,,1,3,,1,3,2,5,4,42,4202107,4,3,4,182954721,13900809600
2,75,5,1,6,97,2,1,3,1,4,4,4,4,4,4,4,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,99,,4,1,2,1,,,,,,,,2,4,,,,,,,1,,1,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,1,3,3,99,,,,,,,,,2,2,1,1,2,2,97,,,99,1,1,1,1,2,97,,,,,,,4,,,1,4,1,5,4,35,3538709,3,3,6,182954927,13900809600
1,54,4,3,6,2,2,2,1,5,5,3,1,4,4,1,4,5,,,,,,,,,,,4,,,,,,2,6,,,,,,,,,,,,8,3,1,5,4,1,4,6,,,,,,,3,,,,,,,,,1,,,,,1,4,,,,,,99,,,,,,,,,,,1,5,5,5,1,7,,,,,,,,,1,1,1,1,1,1,99,,,1,1,1,1,1,2,5,,,,,,,4,,,1,3,2,6,6,33,3302205,3,3,5,182954959,13900809600
1,41,3,1,15,2,2,2,1,4,5,5,1,5,5,2,5,5,,,,,,,,,,,1,6,,,,,2,5,,,,,,,,,,,,1,8,99,2,99,2,1,4,,,,,,,2,3,4,,,,,,99,99,99,,,,2,3,4,,,,,2,,,,,99,,,,,,2,2,2,98,2,1,2,3,4,,,,,,1,1,1,1,1,2,99,,,1,2,2,1,98,1,1,7,,,,,,3,,,1,3,10,5,3,33,3302205,3,3,5,182954960,13900809600
1,46,4,1,11,2,2,1,2,1,5,5,1,5,5,5,2,5,,,,,,,,,,,4,,,,,,1,2,3,,,,,,,,,,,1,3,97,1,4,2,1,2,,,,,,,4,,,,,,,,,,3,,,,2,,,,,,,97,,,,,,,,,,,1,1,1,3,1,8,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,1,2,3,7,,,,,,4,,,1,3,2,4,4,33,3302205,3,3,5,182954961,13900809600
1,22,1,1,16,1,1,1,3,1,2,2,1,5,5,1,2,4,6,,,,,,,,,,1,2,,,,,2,3,6,,,,,,,,,,,1,4,3,1,4,2,4,5,,,,,,,2,3,4,6,,,,,1,1,1,,1,,1,,,,,,,97,,,,,,,,,,,1,1,2,4,1,8,,,,,,,,,1,1,1,1,1,2,1,,,1,2,1,1,2,1,1,3,,,,,,4,,,3,1,20,4,4,35,3550704,3,3,5,182955108,13900809600
2,46,4,1,16,1,2,2,3,2,1,5,1,5,5,4,4,5,1,,,,,,,,,,1,2,3,4,5,6,1,3,5,6,,,,,,,,,,1,4,97,1,4,2,3,4,7,,,,,,1,6,7,,,,,3,,,,,3,3,2,4,6,,,,,97,,,,,,,,,,,1,1,2,4,1,1,6,8,,,,,,,2,2,1,1,2,2,97,,,1,2,2,1,1,1,1,2,4,,,,,4,,,1,4,16,4,4,35,3543402,3,3,7,182955270,13900809600
1,58,4,1,10,6,2,2,3,4,5,5,5,5,99,5,5,5,,,,,,,,,,,1,6,,,,,1,9,10,,,,,,,,,,,99,,,5,4,2,1,4,7,,,,,,6,,,,,,,,,,,,2,,3,4,,,,,,97,,,,,,,,,,,5,5,5,5,5,99,,,,,,,,,2,2,2,2,2,2,97,,,1,1,1,1,1,1,7,,,,,,,4,,,1,3,10,99,99,43,4318903,4,3,4,182955272,13900809600
